Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol,Days
Keltner 5-Rule Retracement,93050.7,-6949.3,-6.95,8,3,4,37.5,17.52,194.0,-1.749,SYRMA,296
Keltner + EMA Cross,145058.77,45058.77,45.06,3,1,2,33.33,18.6,59.0,0.589,SYRMA,296
Keltner Breakout (ATR 1.5),123097.08,23097.08,23.1,8,3,4,37.5,21.99,105.0,0.322,SYRMA,296
Bollinger RSI,130039.54,30039.54,30.04,1,1,0,100.0,1.49,156.0,0.567,SYRMA,296
Squeeze Breakout,75607.34,-24392.66,-24.39,4,0,4,0.0,32.99,258.0,-2.912,SYRMA,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],94015.82,-5984.18,-5.98,4,1,3,25.0,12.1,179.0,-4545.945,ZYDUSLIFE,296
Keltner 5-Rule Retracement,100686.65,686.65,0.69,2,1,1,50.0,8.58,72.0,-17.932,ZYDUSLIFE,296
Keltner + EMA Cross,84777.9,-15222.1,-15.22,4,0,4,0.0,16.73,140.0,-1.854,ZYDUSLIFE,296
Keltner Breakout (ATR 1.5),83104.02,-16895.98,-16.9,8,1,7,12.5,17.02,267.0,-9.224,ZYDUSLIFE,296
Bollinger RSI,120133.51,20133.51,20.13,1,1,0,100.0,7.92,29.0,0.354,ZYDUSLIFE,296
Squeeze Breakout,89934.34,-10065.66,-10.07,5,0,5,0.0,12.19,188.0,-2.311,ZYDUSLIFE,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],117894.85,17894.85,17.89,3,1,2,33.33,11.89,123.0,0.212,MARKSANS,296
Keltner 5-Rule Retracement,116153.56,16153.56,16.15,3,1,2,33.33,11.89,60.0,0.195,MARKSANS,296
Keltner + EMA Cross,100678.62,678.62,0.68,1,1,0,100.0,6.66,214.0,-18.157,MARKSANS,296
Keltner Breakout (ATR 1.5),119920.97,19920.97,19.92,4,2,2,50.0,15.71,129.0,0.562,MARKSANS,296
Bollinger RSI,116046.35,16046.35,16.05,1,1,0,100.0,19.5,117.0,0.156,MARKSANS,296
Squeeze Breakout,109502.05,9502.05,9.5,7,2,5,28.57,19.26,83.0,-0.143,MARKSANS,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],104669.08,4669.08,4.67,5,3,2,60.0,16.72,252.0,-0.497,SAILIFE,296
Keltner 5-Rule Retracement,105149.94,5149.94,5.15,6,3,3,50.0,20.06,252.0,-0.308,SAILIFE,296
Keltner + EMA Cross,147798.88,47798.88,47.8,2,0,1,0.0,12.17,91.0,0.727,SAILIFE,296
Keltner Breakout (ATR 1.5),119126.45,19126.45,19.13,7,3,3,42.86,17.78,206.0,0.24,SAILIFE,296
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,SAILIFE,296
Squeeze Breakout,98352.91,-1647.09,-1.65,4,1,3,25.0,13.72,144.0,-1.764,SAILIFE,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],127059.27,27059.27,27.06,1,1,0,100.0,6.92,63.0,0.52,SIS,296
Keltner 5-Rule Retracement,126898.82,26898.82,26.9,2,1,1,50.0,6.79,63.0,0.517,SIS,296
Keltner + EMA Cross,90574.27,-9425.73,-9.43,3,0,3,0.0,9.72,32.0,-2.379,SIS,296
Keltner Breakout (ATR 1.5),120787.03,20787.03,20.79,2,1,1,50.0,6.92,63.0,0.375,SIS,296
Bollinger RSI,103106.97,3106.97,3.11,1,1,0,100.0,23.69,155.0,-8.119,SIS,296
Squeeze Breakout,75390.62,-24609.38,-24.61,6,0,6,0.0,24.61,273.0,-176.152,SIS,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],85892.64,-14107.36,-14.11,5,1,4,20.0,23.19,223.0,-1.428,IFBIND,296
Keltner 5-Rule Retracement,101526.6,1526.6,1.53,4,2,2,50.0,21.35,124.0,-0.36,IFBIND,296
Keltner + EMA Cross,105067.17,5067.17,5.07,1,1,0,100.0,9.23,34.0,-1.566,IFBIND,296
Keltner Breakout (ATR 1.5),104029.31,4029.31,4.03,5,2,3,40.0,17.56,124.0,-0.303,IFBIND,296
Bollinger RSI,85491.45,-14508.55,-14.51,1,0,1,0.0,43.72,184.0,-2.094,IFBIND,296
Squeeze Breakout,122804.3,22804.3,22.8,4,2,2,50.0,11.66,163.0,1.314,IFBIND,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],111955.95,11955.95,11.96,2,1,1,50.0,9.32,40.0,-0.087,LODHA,296
Keltner 5-Rule Retracement,109809.81,9809.81,9.81,2,1,1,50.0,9.32,42.0,-0.325,LODHA,296
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,LODHA,296
Keltner Breakout (ATR 1.5),110955.77,10955.77,10.96,4,2,2,50.0,11.88,123.0,-0.072,LODHA,296
Bollinger RSI,101827.14,1827.14,1.83,2,0,1,0.0,43.48,220.0,-0.844,LODHA,296
Squeeze Breakout,116667.47,16667.47,16.67,5,2,2,40.0,9.32,182.0,0.19,LODHA,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],72972.96,-27027.04,-27.03,5,0,5,0.0,28.19,248.0,-6.552,VIYASH,296
Keltner 5-Rule Retracement,70674.05,-29325.95,-29.33,5,0,5,0.0,30.45,248.0,-4.955,VIYASH,296
Keltner + EMA Cross,121439.92,21439.92,21.44,5,2,3,40.0,22.56,127.0,1.944,VIYASH,296
Keltner Breakout (ATR 1.5),94040.14,-5959.86,-5.96,6,1,5,16.67,22.79,248.0,-5.19,VIYASH,296
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,VIYASH,296
Squeeze Breakout,90049.29,-9950.71,-9.95,7,1,5,14.29,19.07,248.0,-2.944,VIYASH,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],121787.54,21787.54,21.79,5,2,3,40.0,22.04,170.0,1.674,SHAILY,296
Keltner 5-Rule Retracement,121787.54,21787.54,21.79,5,2,3,40.0,22.04,170.0,1.674,SHAILY,296
Keltner + EMA Cross,104426.21,4426.21,4.43,3,2,1,66.67,17.39,46.0,-1.937,SHAILY,296
Keltner Breakout (ATR 1.5),122144.92,22144.92,22.14,7,3,4,42.86,30.65,251.0,0.742,SHAILY,296
Bollinger RSI,122806.27,22806.27,22.81,1,1,0,100.0,21.68,104.0,0.43,SHAILY,296
Squeeze Breakout,110079.26,10079.26,10.08,4,2,2,50.0,17.84,251.0,-0.048,SHAILY,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],113382.1,13382.1,13.38,3,1,2,33.33,20.42,114.0,0.111,SPARC,296
Keltner 5-Rule Retracement,113382.1,13382.1,13.38,3,1,2,33.33,20.42,114.0,0.111,SPARC,296
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,SPARC,296
Keltner Breakout (ATR 1.5),116042.64,16042.64,16.04,5,2,3,40.0,23.32,138.0,0.184,SPARC,296
Bollinger RSI,181940.74,81940.74,81.94,2,2,0,100.0,12.13,95.0,2.444,SPARC,296
Squeeze Breakout,71495.92,-28504.08,-28.5,4,0,4,0.0,30.91,236.0,-4.31,SPARC,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],103812.44,3812.44,3.81,7,2,5,28.57,25.71,149.0,-0.217,IDEA,296
Keltner 5-Rule Retracement,89046.18,-10953.82,-10.95,7,2,5,28.57,34.39,238.0,-0.705,IDEA,296
Keltner + EMA Cross,100818.91,818.91,0.82,1,1,0,100.0,9.9,11.0,-14.875,IDEA,296
Keltner Breakout (ATR 1.5),117076.72,17076.72,17.08,8,2,6,25.0,21.03,145.0,0.178,IDEA,296
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,IDEA,296
Squeeze Breakout,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,IDEA,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],118450.89,18450.89,18.45,5,1,4,20.0,17.17,174.0,0.231,HAPPYFORGE,296
Keltner 5-Rule Retracement,123275.3,23275.3,23.28,5,2,3,40.0,18.22,173.0,0.349,HAPPYFORGE,296
Keltner + EMA Cross,104304.18,4304.18,4.3,3,2,1,66.67,11.78,91.0,-0.735,HAPPYFORGE,296
Keltner Breakout (ATR 1.5),130515.23,30515.23,30.52,6,2,4,33.33,15.07,108.0,0.424,HAPPYFORGE,296
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,HAPPYFORGE,296
Squeeze Breakout,112635.39,12635.39,12.64,4,1,3,25.0,11.81,222.0,-0.026,HAPPYFORGE,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],99220.65,-779.35,-0.78,2,1,1,50.0,20.14,61.0,-17.681,RELAXO,296
Keltner 5-Rule Retracement,92952.6,-7047.4,-7.05,4,1,3,25.0,20.14,195.0,-257.285,RELAXO,296
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,RELAXO,296
Keltner Breakout (ATR 1.5),99220.65,-779.35,-0.78,2,1,1,50.0,20.14,61.0,-17.681,RELAXO,296
Bollinger RSI,85362.48,-14637.52,-14.64,2,0,1,0.0,41.39,195.0,-2.171,RELAXO,296
Squeeze Breakout,134268.28,34268.28,34.27,5,3,1,60.0,9.65,121.0,0.555,RELAXO,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],120999.98,20999.98,21.0,2,2,0,100.0,10.36,58.0,0.381,EMMVEE,211
Keltner 5-Rule Retracement,101576.01,1576.01,1.58,3,2,1,66.67,16.2,60.0,-7.249,EMMVEE,211
Keltner + EMA Cross,135586.42,35586.42,35.59,2,1,1,50.0,12.87,58.0,0.635,EMMVEE,211
Keltner Breakout (ATR 1.5),103979.59,3979.59,3.98,4,2,2,50.0,15.76,63.0,-2.267,EMMVEE,211
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,EMMVEE,211
Squeeze Breakout,84357.47,-15642.53,-15.64,4,1,3,25.0,20.07,145.0,-1.831,EMMVEE,211
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],95318.84,-4681.16,-4.68,1,0,1,0.0,4.68,152.0,-3.777,GICRE,296
Keltner 5-Rule Retracement,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,GICRE,296
Keltner + EMA Cross,96280.31,-3719.69,-3.72,3,1,2,33.33,8.46,152.0,-14.373,GICRE,296
Keltner Breakout (ATR 1.5),92264.82,-7735.18,-7.74,3,0,3,0.0,9.48,229.0,-4.561,GICRE,296
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,GICRE,296
Squeeze Breakout,81784.36,-18215.64,-18.22,8,1,6,12.5,19.4,264.0,-5.164,GICRE,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],98807.59,-1192.41,-1.19,4,1,3,25.0,11.9,169.0,-1.71,CGCL,297
Keltner 5-Rule Retracement,108511.49,8511.49,8.51,4,2,2,50.0,10.08,123.0,-0.21,CGCL,297
Keltner + EMA Cross,103454.61,3454.61,3.45,2,0,1,0.0,11.9,210.0,-1.443,CGCL,297
Keltner Breakout (ATR 1.5),116441.44,16441.44,16.44,4,2,2,50.0,10.19,123.0,0.18,CGCL,297
Bollinger RSI,110835.54,10835.54,10.84,1,1,0,100.0,19.11,77.0,-0.291,CGCL,297
Squeeze Breakout,94003.27,-5996.73,-6.0,4,1,3,25.0,13.55,211.0,-13.908,CGCL,297
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],86784.42,-13215.58,-13.22,3,0,3,0.0,13.22,262.0,-6.726,IOB,296
Keltner 5-Rule Retracement,91198.75,-8801.25,-8.8,2,0,2,0.0,8.8,68.0,-2.477,IOB,296
Keltner + EMA Cross,86892.75,-13107.25,-13.11,5,1,4,20.0,17.39,249.0,-1.517,IOB,296
Keltner Breakout (ATR 1.5),82538.65,-17461.35,-17.46,4,0,4,0.0,17.46,262.0,-45.057,IOB,296
Bollinger RSI,94449.29,-5550.71,-5.55,1,0,0,0.0,14.92,178.0,-1.121,IOB,296
Squeeze Breakout,91539.21,-8460.79,-8.46,3,1,2,33.33,14.92,182.0,-1.792,IOB,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],106987.89,6987.89,6.99,4,1,2,25.0,18.71,48.0,-0.86,INNOVACAP,296
Keltner 5-Rule Retracement,113431.05,13431.05,13.43,4,1,3,25.0,15.66,74.0,0.032,INNOVACAP,296
Keltner + EMA Cross,95311.16,-4688.84,-4.69,1,0,1,0.0,6.81,267.0,-3.773,INNOVACAP,296
Keltner Breakout (ATR 1.5),118863.06,18863.06,18.86,4,2,1,50.0,11.46,48.0,0.311,INNOVACAP,296
Bollinger RSI,109338.42,9338.42,9.34,1,1,0,100.0,16.17,116.0,-0.109,INNOVACAP,296
Squeeze Breakout,103474.62,3474.62,3.47,8,3,5,37.5,23.47,173.0,-0.643,INNOVACAP,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],85251.35,-14748.65,-14.75,2,0,2,0.0,14.75,102.0,-1.881,DRREDDY,296
Keltner 5-Rule Retracement,89954.81,-10045.19,-10.05,2,0,2,0.0,13.76,102.0,-2.294,DRREDDY,296
Keltner + EMA Cross,89119.37,-10880.63,-10.88,2,0,2,0.0,12.95,102.0,-2.195,DRREDDY,296
Keltner Breakout (ATR 1.5),87558.93,-12441.07,-12.44,5,1,3,20.0,15.22,250.0,-5.658,DRREDDY,296
Bollinger RSI,113020.72,13020.72,13.02,1,1,0,100.0,9.66,61.0,0.002,DRREDDY,296
Squeeze Breakout,79017.41,-20982.59,-20.98,5,1,3,20.0,22.26,166.0,-2.698,DRREDDY,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],104743.25,4743.25,4.74,2,2,0,100.0,4.2,219.0,-2.963,UNOMINDA,296
Keltner 5-Rule Retracement,97510.37,-2489.63,-2.49,3,1,2,33.33,10.3,252.0,-103.981,UNOMINDA,296
Keltner + EMA Cross,87489.43,-12510.57,-12.51,2,0,2,0.0,12.89,214.0,-14.136,UNOMINDA,296
Keltner Breakout (ATR 1.5),88284.57,-11715.43,-11.72,6,2,4,33.33,22.41,252.0,-26.331,UNOMINDA,296
Bollinger RSI,108200.16,8200.16,8.2,1,1,0,100.0,17.95,115.0,-0.585,UNOMINDA,296
Squeeze Breakout,93234.46,-6765.54,-6.77,9,3,6,33.33,17.51,130.0,-2.119,UNOMINDA,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],104683.69,4683.69,4.68,4,2,2,50.0,14.61,106.0,-0.683,ANGELONE,296
Keltner 5-Rule Retracement,104683.69,4683.69,4.68,4,2,2,50.0,14.61,106.0,-0.683,ANGELONE,296
Keltner + EMA Cross,86458.73,-13541.27,-13.54,3,1,1,33.33,27.89,211.0,-1.146,ANGELONE,296
Keltner Breakout (ATR 1.5),96712.54,-3287.46,-3.29,6,3,3,50.0,21.05,211.0,-0.695,ANGELONE,296
Bollinger RSI,116614.28,16614.28,16.61,1,1,0,100.0,8.87,214.0,0.218,ANGELONE,296
Squeeze Breakout,101349.37,1349.37,1.35,2,1,1,50.0,6.98,21.0,-8.634,ANGELONE,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],109925.27,9925.27,9.93,5,2,3,40.0,11.69,152.0,-0.049,NEULANDLAB,296
Keltner 5-Rule Retracement,117945.91,17945.91,17.95,4,3,1,75.0,13.68,154.0,0.221,NEULANDLAB,296
Keltner + EMA Cross,173953.83,73953.83,73.95,3,1,1,33.33,13.93,116.0,0.985,NEULANDLAB,296
Keltner Breakout (ATR 1.5),129627.02,29627.02,29.63,6,4,2,66.67,13.85,154.0,0.447,NEULANDLAB,296
Bollinger RSI,108007.44,8007.44,8.01,1,1,0,100.0,15.97,114.0,-0.623,NEULANDLAB,296
Squeeze Breakout,137499.49,37499.49,37.5,4,2,2,50.0,7.91,95.0,0.707,NEULANDLAB,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],154953.11,54953.11,54.95,5,3,2,60.0,17.54,160.0,2.059,AVALON,296
Keltner 5-Rule Retracement,153944.55,53944.55,53.94,5,3,2,60.0,14.44,153.0,2.113,AVALON,296
Keltner + EMA Cross,127072.71,27072.71,27.07,4,1,2,25.0,30.5,238.0,5.203,AVALON,296
Keltner Breakout (ATR 1.5),176710.08,76710.08,76.71,6,3,2,50.0,15.95,142.0,1.97,AVALON,296
Bollinger RSI,122642.09,22642.09,22.64,1,1,0,100.0,17.74,109.0,0.377,AVALON,296
Squeeze Breakout,105244.53,5244.53,5.24,5,2,2,40.0,14.4,148.0,-1.479,AVALON,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],99160.52,-839.48,-0.84,5,1,4,20.0,14.22,98.0,-2.688,AUROPHARMA,296
Keltner 5-Rule Retracement,100129.56,129.56,0.13,5,2,3,40.0,12.79,112.0,-2.788,AUROPHARMA,296
Keltner + EMA Cross,123295.49,23295.49,23.3,4,1,2,25.0,10.65,73.0,0.378,AUROPHARMA,296
Keltner Breakout (ATR 1.5),95381.23,-4618.77,-4.62,8,2,5,25.0,14.76,112.0,-4.694,AUROPHARMA,296
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,AUROPHARMA,296
Squeeze Breakout,101608.97,1608.97,1.61,5,2,3,40.0,14.02,112.0,-16.211,AUROPHARMA,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],82818.25,-17181.75,-17.18,7,2,5,28.57,28.75,180.0,-4.084,PARAS,296
Keltner 5-Rule Retracement,90486.19,-9513.81,-9.51,6,2,4,33.33,23.08,182.0,-1.12,PARAS,296
Keltner + EMA Cross,63099.14,-36900.86,-36.9,6,0,6,0.0,38.97,249.0,-19.53,PARAS,296
Keltner Breakout (ATR 1.5),100822.36,822.36,0.82,8,2,6,25.0,28.52,180.0,-0.412,PARAS,296
Bollinger RSI,120394.46,20394.46,20.39,1,1,0,100.0,11.06,22.0,2.479,PARAS,296
Squeeze Breakout,74956.49,-25043.51,-25.04,5,1,4,20.0,32.43,249.0,-10.987,PARAS,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],96013.42,-3986.58,-3.99,4,1,3,25.0,11.09,177.0,-44.209,VMART,296
Keltner 5-Rule Retracement,96106.1,-3893.9,-3.89,4,1,3,25.0,12.18,137.0,-35.281,VMART,296
Keltner + EMA Cross,104295.46,4295.46,4.3,3,2,1,66.67,15.13,163.0,-0.431,VMART,296
Keltner Breakout (ATR 1.5),101413.29,1413.29,1.41,5,3,2,60.0,11.39,137.0,-1.948,VMART,296
Bollinger RSI,104685.47,4685.47,4.69,1,1,0,100.0,33.5,177.0,-1.775,VMART,296
Squeeze Breakout,120136.03,20136.03,20.14,4,2,2,50.0,9.45,95.0,0.256,VMART,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],331308.94,231308.94,231.31,4,3,1,75.0,15.95,114.0,1.265,SIGMAADV,277
Keltner 5-Rule Retracement,305486.43,205486.43,205.49,4,3,1,75.0,21.04,114.0,1.311,SIGMAADV,277
Keltner + EMA Cross,86156.64,-13843.36,-13.84,2,0,2,0.0,14.73,164.0,-5.231,SIGMAADV,277
Keltner Breakout (ATR 1.5),314319.85,214319.85,214.32,7,3,4,42.86,29.76,117.0,1.226,SIGMAADV,277
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,SIGMAADV,277
Squeeze Breakout,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,SIGMAADV,277
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],90549.52,-9450.48,-9.45,3,0,3,0.0,16.39,97.0,-2.376,CONCORDBIO,296
Keltner 5-Rule Retracement,84922.82,-15077.18,-15.08,3,0,3,0.0,15.08,97.0,-1.862,CONCORDBIO,296
Keltner + EMA Cross,114903.8,14903.8,14.9,3,2,0,66.67,13.57,43.0,0.128,CONCORDBIO,296
Keltner Breakout (ATR 1.5),88777.36,-11222.64,-11.22,5,2,2,40.0,15.53,154.0,-2.158,CONCORDBIO,296
Bollinger RSI,110983.39,10983.39,10.98,1,1,0,100.0,22.52,80.0,-0.184,CONCORDBIO,296
Squeeze Breakout,89941.64,-10058.36,-10.06,4,0,4,0.0,22.6,158.0,-2.558,CONCORDBIO,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],93756.24,-6243.76,-6.24,4,1,3,25.0,15.27,143.0,-3.082,ELGIEQUIP,296
Keltner 5-Rule Retracement,96971.23,-3028.77,-3.03,5,2,3,40.0,10.27,143.0,-2.42,ELGIEQUIP,296
Keltner + EMA Cross,92330.71,-7669.29,-7.67,2,0,2,0.0,9.3,223.0,-17.714,ELGIEQUIP,296
Keltner Breakout (ATR 1.5),91246.33,-8753.67,-8.75,7,3,4,42.86,12.87,143.0,-2.034,ELGIEQUIP,296
Bollinger RSI,126840.69,26840.69,26.84,1,1,0,100.0,14.32,34.0,0.516,ELGIEQUIP,296
Squeeze Breakout,92973.68,-7026.32,-7.03,2,0,2,0.0,8.99,182.0,-4.813,ELGIEQUIP,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],131567.39,31567.39,31.57,3,3,0,100.0,9.14,153.0,0.825,GABRIEL,296
Keltner 5-Rule Retracement,137306.89,37306.89,37.31,3,3,0,100.0,9.73,154.0,0.861,GABRIEL,296
Keltner + EMA Cross,116837.5,16837.5,16.84,1,1,0,100.0,15.11,34.0,0.228,GABRIEL,296
Keltner Breakout (ATR 1.5),140199.87,40199.87,40.2,4,3,1,75.0,13.12,155.0,1.521,GABRIEL,296
Bollinger RSI,109921.28,9921.28,9.92,1,1,0,100.0,25.09,112.0,-0.235,GABRIEL,296
Squeeze Breakout,97318.57,-2681.43,-2.68,4,2,2,50.0,16.74,196.0,-2.149,GABRIEL,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],101361.09,1361.09,1.36,4,1,3,25.0,17.05,99.0,-0.823,LLOYDSME,296
Keltner 5-Rule Retracement,96392.81,-3607.19,-3.61,4,1,3,25.0,20.3,99.0,-1.981,LLOYDSME,296
Keltner + EMA Cross,103561.18,3561.18,3.56,1,1,0,100.0,9.71,32.0,-2.65,LLOYDSME,296
Keltner Breakout (ATR 1.5),104525.42,4525.42,4.53,5,1,4,20.0,15.09,99.0,-0.676,LLOYDSME,296
Bollinger RSI,143980.24,43980.24,43.98,2,2,0,100.0,11.74,115.0,2.739,LLOYDSME,296
Squeeze Breakout,127354.16,27354.16,27.35,3,3,0,100.0,9.5,86.0,0.542,LLOYDSME,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],133833.25,33833.25,33.83,1,1,0,100.0,4.8,48.0,0.616,HONASA,296
Keltner 5-Rule Retracement,122851.81,22851.81,22.85,2,1,1,50.0,8.21,64.0,0.431,HONASA,296
Keltner + EMA Cross,94583.81,-5416.19,-5.42,2,0,2,0.0,9.36,176.0,-4.777,HONASA,296
Keltner Breakout (ATR 1.5),124866.38,24866.38,24.87,5,1,4,20.0,12.14,75.0,0.409,HONASA,296
Bollinger RSI,109076.13,9076.13,9.08,1,1,0,100.0,13.59,148.0,-1.477,HONASA,296
Squeeze Breakout,82007.76,-17992.24,-17.99,7,1,6,14.29,17.99,243.0,-15.043,HONASA,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],101250.76,1250.76,1.25,3,2,1,66.67,7.2,81.0,-9.394,RAINBOW,296
Keltner 5-Rule Retracement,100667.63,667.63,0.67,3,1,2,33.33,10.24,81.0,-18.472,RAINBOW,296
Keltner + EMA Cross,117902.7,17902.7,17.9,1,1,0,100.0,10.73,34.0,0.274,RAINBOW,296
Keltner Breakout (ATR 1.5),104475.44,4475.44,4.48,3,2,1,66.67,5.91,34.0,-1.905,RAINBOW,296
Bollinger RSI,100559.14,559.14,0.56,1,1,0,100.0,21.19,179.0,-0.822,RAINBOW,296
Squeeze Breakout,93107.75,-6892.25,-6.89,8,3,5,37.5,11.92,243.0,-14.077,RAINBOW,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],199286.21,99286.21,99.29,3,3,0,100.0,18.43,119.0,1.686,RPEL,296
Keltner 5-Rule Retracement,199286.21,99286.21,99.29,3,3,0,100.0,18.43,119.0,1.686,RPEL,296
Keltner + EMA Cross,137179.7,37179.7,37.18,1,1,0,100.0,12.1,209.0,0.65,RPEL,296
Keltner Breakout (ATR 1.5),192278.12,92278.12,92.28,5,3,2,60.0,18.43,119.0,1.297,RPEL,296
Bollinger RSI,134652.69,34652.69,34.65,2,1,1,50.0,27.63,168.0,0.572,RPEL,296
Squeeze Breakout,188086.77,88086.77,88.09,3,3,0,100.0,5.7,71.0,0.852,RPEL,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],88470.97,-11529.03,-11.53,4,0,4,0.0,14.86,122.0,-5.093,GRAVITA,296
Keltner 5-Rule Retracement,85456.83,-14543.17,-14.54,4,0,4,0.0,15.19,122.0,-8.02,GRAVITA,296
Keltner + EMA Cross,95759.09,-4240.91,-4.24,1,0,1,0.0,12.53,52.0,-4.065,GRAVITA,296
Keltner Breakout (ATR 1.5),99446.88,-553.12,-0.55,4,2,2,50.0,11.58,109.0,-0.762,GRAVITA,296
Bollinger RSI,113883.65,13883.65,13.88,1,1,0,100.0,29.91,183.0,0.068,GRAVITA,296
Squeeze Breakout,105051.06,5051.06,5.05,5,3,2,60.0,14.64,118.0,-0.703,GRAVITA,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],98973.54,-1026.46,-1.03,3,1,2,33.33,9.23,210.0,-0.747,TTKPRESTIG,296
Keltner 5-Rule Retracement,84511.31,-15488.69,-15.49,3,1,2,33.33,22.28,224.0,-8.078,TTKPRESTIG,296
Keltner + EMA Cross,93848.45,-6151.55,-6.15,1,0,1,0.0,6.65,224.0,-3.113,TTKPRESTIG,296
Keltner Breakout (ATR 1.5),81031.54,-18968.46,-18.97,6,1,5,16.67,26.84,271.0,-19.909,TTKPRESTIG,296
Bollinger RSI,95107.65,-4892.35,-4.89,2,0,1,0.0,30.34,186.0,-2.747,TTKPRESTIG,296
Squeeze Breakout,121394.89,21394.89,21.39,6,3,2,50.0,11.54,130.0,0.266,TTKPRESTIG,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],122432.26,22432.26,22.43,4,3,1,75.0,10.84,69.0,0.454,AETHER,296
Keltner 5-Rule Retracement,122432.26,22432.26,22.43,4,3,1,75.0,10.84,69.0,0.454,AETHER,296
Keltner + EMA Cross,114253.46,14253.46,14.25,2,2,0,100.0,10.87,158.0,0.91,AETHER,296
Keltner Breakout (ATR 1.5),141617.24,41617.24,41.62,5,4,1,80.0,15.14,69.0,0.718,AETHER,296
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,AETHER,296
Squeeze Breakout,142487.26,42487.26,42.49,7,4,3,57.14,13.08,59.0,0.86,AETHER,296
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,PSB,296
Keltner 5-Rule Retracement,96100.16,-3899.84,-3.9,1,0,1,0.0,3.9,249.0,-4.333,PSB,296
Keltner + EMA Cross,83625.1,-16374.9,-16.37,3,0,3,0.0,17.51,209.0,-2.897,PSB,296
Keltner Breakout (ATR 1.5),86840.7,-13159.3,-13.16,3,0,3,0.0,13.25,178.0,-1.988,PSB,296
Bollinger RSI,81849.65,-18150.35,-18.15,1,0,0,0.0,28.29,178.0,-1.513,PSB,296
Squeeze Breakout,94912.72,-5087.28,-5.09,7,2,4,28.57,21.56,120.0,-2.378,PSB,296
