Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol,Days
Keltner + EMA Cross,103817.14,3817.14,3.82,1,1,0,100.0,12.58,51.0,0.0,AVANTEL,114
Keltner Breakout (ATR 1.5),93949.66,-6050.34,-6.05,1,0,1,0.0,10.5,82.0,0.0,AVANTEL,114
Bollinger RSI,102841.06,2841.06,2.84,1,0,0,0.0,0.59,3.0,0.0,AVANTEL,114
Squeeze Breakout,90436.21,-9563.79,-9.56,3,0,2,0.0,13.8,82.0,0.0,AVANTEL,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,AWHCL,114
Keltner 5-Rule Retracement,97063.47,-2936.53,-2.94,1,0,1,0.0,4.42,57.0,0.0,AWHCL,114
Keltner + EMA Cross,92382.87,-7617.13,-7.62,1,0,1,0.0,7.62,64.0,0.0,AWHCL,114
Keltner Breakout (ATR 1.5),100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,AWHCL,114
Bollinger RSI,88809.95,-11190.05,-11.19,1,0,0,0.0,28.42,65.0,0.0,AWHCL,114
Squeeze Breakout,105650.13,5650.13,5.65,2,2,0,100.0,6.97,72.0,0.0,AWHCL,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],90915.34,-9084.66,-9.08,1,0,1,0.0,12.18,9.0,0.0,AXISCADES,114
Keltner 5-Rule Retracement,90915.34,-9084.66,-9.08,1,0,1,0.0,12.18,9.0,0.0,AXISCADES,114
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,AXISCADES,114
Keltner Breakout (ATR 1.5),104783.97,4783.97,4.78,2,0,1,0.0,11.96,9.0,0.0,AXISCADES,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,AXISCADES,114
Squeeze Breakout,99195.51,-804.49,-0.8,1,0,1,0.0,12.07,9.0,0.0,AXISCADES,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],99804.48,-195.52,-0.2,1,0,1,0.0,7.28,32.0,0.0,BHARATFORG,114
Keltner 5-Rule Retracement,99804.48,-195.52,-0.2,1,0,1,0.0,7.28,32.0,0.0,BHARATFORG,114
